soc_fraction,origin,destination,demand,retained_paths,distinct_charging_stations,refinement_round,selection_reason
0.1,1252,504,0.0089282675,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,519,0.00754707,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,52,0.1237952375,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,59,0.05214103,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,592,0.1465182275,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,598,0.0942099275,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1252,601,0.0584786425,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,609,0.0313138575,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,610,0.09682908,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,612,0.0789048025,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,613,0.01577822,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,614,0.0527333525,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,622,0.03227501,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,623,0.02468545,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,625,0.0368082675,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,627,0.0588861725,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,630,0.0183305725,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,632,0.016513935,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,634,0.0373826725,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,639,0.00043448,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,64,0.0226398875,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,642,0.03343807,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,643,0.0189017675,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,646,0.0271922625,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,654,0.020480685,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,656,0.024940465,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,658,0.020121805,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,667,0.0476939025,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,670,0.02279497,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,681,0.026631805,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,684,0.0036892925,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,692,0.0179859075,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,693,0.0306405375,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,699,0.0059276425,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,706,0.0788387775,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,707,0.014323755,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1252,71,0.017150055,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,711,0.0077951475,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,73,0.01425253,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,75,0.004027105,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,77,0.0013645125,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,82,0.002288875,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,83,0.0003998125,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,849,0.02521079,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1252,85,0.020086305,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,889,0.1814127975,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,899,0.091681525,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,902,0.13837917,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,912,0.026872285,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,926,0.0726613925,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,934,0.0279043975,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,936,0.01609485,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,937,0.032259645,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,94,0.0217644825,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,944,0.0518051225,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,955,0.0467627375,5,1,0,path_count_below_K;low_station_diversity
0.1,1252,958,0.02132883,5,1,0,path_count_below_K;low_station_diversity
0.1,1260,1271,1.4792234625,5,0,0,path_count_below_K;high_demand
0.1,134,377,1.4161046025,5,0,0,path_count_below_K;high_demand
0.1,1431,1430,3.4879156175,5,0,0,path_count_below_K;high_demand
0.1,1431,1435,1.800386345,2,0,0,path_count_below_K;high_demand
0.1,1500,1002,7.856e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1004,0.00014897,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1013,0.0002084675,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1022,0.0001527375,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1029,0.0003968275,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,104,0.00055593,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1040,5.7305e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1046,5.2275e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1059,0.0001467025,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,107,0.000247515,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1071,0.0002310925,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1073,0.0001382025,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1074,0.0003367925,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1271,4.307e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,128,0.0033792775,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,130,0.00136405,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,131,0.00124511,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1311,5.53025e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1317,4.55275e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1321,6.24975e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1328,0.00011535,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1338,0.0001904,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,134,0.003327765,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1347,0.000151535,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1351,8.00875e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1368,0.00030796,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,144,0.00461249,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,145,0.003288255,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,151,0.004727325,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,156,0.0091748725,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1564,0.0003119375,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1569,0.0007889525,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1571,0.00026393,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1577,0.0009168125,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,160,0.0040919775,5,1,0,path_count_below_K;high_overlap;low_station_diversity
0.1,1500,1629,0.00037041,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,163,0.01109165,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1632,0.000731585,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,168,0.017033105,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1720,0.000177445,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1721,0.0003292525,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,1723,0.00042399,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,279,5.21025e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,288,0.0001518825,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,289,4.633e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,297,8.2975e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,299,9.156e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,310,5.166e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,312,0.0003570725,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,315,0.0001536875,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,317,0.0002718125,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,321,0.00031767,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,324,0.00063819,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,33,0.000126045,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,331,0.0003018975,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,334,0.00060246,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,336,0.000957205,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,34,0.000388115,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,342,0.0016265925,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,345,0.0006952175,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,349,0.0002680925,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,352,0.0007754825,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,355,6.041e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,361,0.0002087825,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,363,0.0007157675,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,365,0.000802485,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,375,0.0018913125,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,377,0.0019659975,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,379,0.00098735,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,389,0.00399765,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,39,0.0005239525,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,398,0.0019829625,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,41,0.0009397,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,46,0.0007933525,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,49,0.0010681625,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,52,0.0019030825,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,528,4.2695e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,560,7.9075e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,570,4.949e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,578,6.4725e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,580,8.247e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,584,0.0002009575,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,588,0.00010003,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,59,0.000676695,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,592,8.9775e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,598,6.95475e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,601,0.00014298,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,609,5.579e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,610,0.0002390475,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,612,0.000143195,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,614,0.00011089,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,622,8.37125e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,625,0.00017183,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,627,0.000178355,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,630,6.95875e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,632,8.12175e-05,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,634,0.000119635,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,64,0.0003622675,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,642,0.0001936375,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,643,0.000173925,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,646,0.0002386225,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,654,0.0002996275,5,1,0,path_count_below_K;low_station_diversity
0.1,1500,656,0.0002939925,5,1,0,path_count_below_K;low_station_diversity
