soc_fraction,origin,destination,demand,retained_paths,distinct_charging_stations,refinement_round,selection_reason
0.1,777,726,1.36146414,5,0,0,path_count_below_K;high_demand
0.1,784,1252,1.4140075975,5,0,0,path_count_below_K;high_demand
0.1,784,726,1.359982825,5,0,0,path_count_below_K;high_demand
0.1,784,777,1.333082345,5,0,0,path_count_below_K;high_demand
0.1,796,379,0.12699949,5,1,0,path_count_below_K;low_station_diversity
0.1,796,656,0.0401959975,5,1,0,path_count_below_K;low_station_diversity
0.1,796,667,0.0612971075,5,1,0,path_count_below_K;low_station_diversity
0.1,796,681,0.0276359425,5,1,0,path_count_below_K;low_station_diversity
0.1,797,1521,0.0047111525,5,1,0,path_count_below_K;low_station_diversity
0.1,797,172,0.0367002575,5,1,0,path_count_below_K;low_station_diversity
0.1,797,379,0.031270065,5,1,0,path_count_below_K;low_station_diversity
0.1,797,428,0.004690855,5,1,0,path_count_below_K;low_station_diversity
0.1,797,643,0.01508661,5,1,0,path_count_below_K;low_station_diversity
0.1,797,656,0.0190291,5,1,0,path_count_below_K;low_station_diversity
0.1,797,667,0.02143331,5,1,0,path_count_below_K;low_station_diversity
0.1,797,670,0.0041603275,5,1,0,path_count_below_K;low_station_diversity
0.1,797,681,0.0068801825,5,1,0,path_count_below_K;low_station_diversity
0.1,797,684,0.00215395,5,1,0,path_count_below_K;low_station_diversity
0.1,797,693,0.0080653775,5,1,0,path_count_below_K;low_station_diversity
0.1,797,707,0.00678859,5,1,0,path_count_below_K;low_station_diversity
0.1,807,820,1.55008668,5,0,0,path_count_below_K;high_demand
0.1,811,1521,0.0269966075,5,1,0,path_count_below_K;low_station_diversity
0.1,811,1528,0.1240613025,5,1,0,path_count_below_K;low_station_diversity
0.1,811,379,0.409590145,5,1,0,path_count_below_K;low_station_diversity
0.1,811,667,0.2216591875,5,1,0,path_count_below_K;low_station_diversity
0.1,811,681,0.1077642175,5,1,0,path_count_below_K;low_station_diversity
0.1,811,684,0.03151074,5,1,0,path_count_below_K;low_station_diversity
0.1,811,707,0.13260193,5,1,0,path_count_below_K;low_station_diversity
0.1,811,751,1.4404120525,5,0,0,path_count_below_K;high_demand
0.1,811,754,1.8427704475,5,0,0,path_count_below_K;high_demand
0.1,811,784,2.1287450375,5,0,0,path_count_below_K;high_demand
0.1,811,797,1.8384260925,5,0,0,path_count_below_K;high_demand
0.1,811,820,2.4495230925,5,0,0,path_count_below_K;high_demand
0.1,820,667,0.0872980325,5,1,0,path_count_below_K;low_station_diversity
0.1,820,681,0.0231667225,5,1,0,path_count_below_K;low_station_diversity
0.1,834,1521,0.0014524275,5,1,0,path_count_below_K;low_station_diversity
0.1,834,172,0.0099002075,5,1,0,path_count_below_K;low_station_diversity
0.1,834,379,0.0156210475,5,1,0,path_count_below_K;low_station_diversity
0.1,834,428,0.0089802425,5,1,0,path_count_below_K;low_station_diversity
0.1,834,630,0.003910185,5,1,0,path_count_below_K;low_station_diversity
0.1,834,642,0.006546395,5,1,0,path_count_below_K;low_station_diversity
0.1,834,643,0.0042559375,5,1,0,path_count_below_K;low_station_diversity
0.1,834,656,0.0182849025,5,1,0,path_count_below_K;low_station_diversity
0.1,834,667,0.0085494175,5,1,0,path_count_below_K;low_station_diversity
0.1,834,670,0.00173773,5,1,0,path_count_below_K;low_station_diversity
0.1,834,681,0.00212113,5,1,0,path_count_below_K;low_station_diversity
0.1,834,684,0.0008203,5,1,0,path_count_below_K;low_station_diversity
0.1,834,693,0.00316466,5,1,0,path_count_below_K;low_station_diversity
0.1,834,707,0.003184835,5,1,0,path_count_below_K;low_station_diversity
0.1,834,912,0.00669552,5,1,0,path_count_below_K;low_station_diversity
0.1,844,1031,1.1529262725,5,0,0,path_count_below_K
0.1,844,1521,0.0148295175,5,1,0,path_count_below_K;low_station_diversity
0.1,844,656,0.0289572475,5,1,0,path_count_below_K;low_station_diversity
0.1,844,667,0.0327986725,5,1,0,path_count_below_K;low_station_diversity
0.1,844,670,0.0083025825,5,1,0,path_count_below_K;low_station_diversity
0.1,844,681,0.0073578525,5,1,0,path_count_below_K;low_station_diversity
0.1,844,707,0.0152582975,5,1,0,path_count_below_K;low_station_diversity
0.1,844,839,1.1903732275,5,0,0,path_count_below_K
0.1,899,902,1.224609815,5,0,0,path_count_below_K
0.1,912,1013,1.35165807,5,0,0,path_count_below_K;high_demand
0.1,912,144,1.14636378,5,0,0,path_count_below_K
0.1,912,1581,1.14016831,1,0,0,path_count_below_K
0.1,912,172,0.9933024975,5,0,0,path_count_below_K
0.1,912,584,1.359617535,5,0,0,path_count_below_K;high_demand
0.1,912,642,1.43342865,5,0,0,path_count_below_K;high_demand
0.1,912,889,2.997040075,5,0,0,path_count_below_K;high_demand
0.1,912,934,2.33047824,5,0,0,path_count_below_K;high_demand
0.1,912,937,1.708432605,5,0,0,path_count_below_K;high_demand
0.1,912,955,2.0355428575,5,0,0,path_count_below_K;high_demand
0.1,926,1022,1.30617676,5,0,0,path_count_below_K;high_demand
0.1,926,1029,1.45582907,5,0,0,path_count_below_K;high_demand
0.1,926,379,1.004475845,5,0,0,path_count_below_K
0.1,926,902,2.2083254925,5,0,0,path_count_below_K;high_demand
0.1,926,934,1.30934894,5,0,0,path_count_below_K;high_demand
0.1,937,955,1.035844095,5,0,0,path_count_below_K
0.1,969,1521,0.0068354075,5,1,0,path_count_below_K;low_station_diversity
0.1,969,398,0.02595004,5,1,0,path_count_below_K;low_station_diversity
0.1,969,407,0.0483209975,5,1,0,path_count_below_K;low_station_diversity
0.1,969,409,0.012859985,5,1,0,path_count_below_K;low_station_diversity
0.1,969,410,0.011072155,5,1,0,path_count_below_K;low_station_diversity
0.1,969,447,0.0096254275,5,1,0,path_count_below_K;low_station_diversity
0.1,969,670,0.00558837,5,1,0,path_count_below_K;low_station_diversity
0.1,969,681,0.006488595,5,1,0,path_count_below_K;low_station_diversity
